source_id,source_name,country_or_region,trust_category,access_status,allowed_for_model_training,allowed_for_dashboard,allowed_for_regional_context,patient_level_available,molecular_fields_available,treatment_outcome_available,curation_status,mandatory_label,notes
TCGA_LUAD_CBIOPORTAL,TCGA-LUAD via cBioPortal/DataHub,USA / TCGA,TRAINABLE_PATIENT_LEVEL,public_downloaded,True,True,True,True,True,False,APPROVED_WITH_LIMITS,patient-level dataset,Already ingested in Notebook 10 if present in repaired tables.
CPTAC_LUAD_CBIOPORTAL,CPTAC-LUAD via cBioPortal/DataHub,USA / CPTAC,TRAINABLE_PATIENT_LEVEL,public_downloaded_partially,True,True,True,True,True,False,APPROVED_WITH_LIMITS,patient-level dataset,Notebook 10 includes CPTAC EGFR-mutant patients. True phosphoproteomics integration is still pending.
AACR_GENIE_PUBLIC,AACR Project GENIE public,International,CONTROLLED_ACCESS_REQUIRED,manual_terms_required,False,False,False,yes after official access,yes after official access,limited depending release,BLOCKED_PENDING_ACCESS_OR_REVIEW,not allowed yet,Do not use until official access is completed. No bypassing access rules.
AACR_GENIE_BPC_NSCLC,AACR GENIE BPC NSCLC,International,CONTROLLED_ACCESS_REQUIRED,manual_terms_required,False,False,False,yes after official access,yes after official access,yes depending released tables,BLOCKED_PENDING_ACCESS_OR_REVIEW,not allowed yet,"Ideal validation source later, but blocked until terms/access."
CIVIC,CIViC Clinical Interpretation of Variants in Cancer,global knowledgebase,KNOWLEDGE_EVIDENCE,open_public,False,True,True,False,True,"evidence statements, not raw patient outcome",APPROVED_WITH_LIMITS,knowledge evidence only,"Use for traceable sensitivity/resistance evidence, not as patient rows."
CGI,Cancer Genome Interpreter,global knowledgebase/tool,KNOWLEDGE_EVIDENCE,public_tool_or_manual,False,True,True,False,True,"biomarker interpretation, not raw patient outcome",APPROVED_WITH_LIMITS,knowledge evidence only,Use as actionability/oncogenicity support only.
DGIDB,DGIdb Drug Gene Interaction Database,global knowledgebase,KNOWLEDGE_EVIDENCE,open_public,False,True,False,False,True,False,APPROVED_WITH_LIMITS,knowledge evidence only,Never use DGIdb alone to recommend therapy.
PATHWAY_PROXY_NOTEBOOK10,Mutation-derived pathway proxy from Notebook 10,derived from TCGA/CPTAC seed cohort,PROXY_PENDING_VALIDATION,generated_internal,False,True,False,True,True,False,APPROVED_WITH_LIMITS,proxy pending validation,Allowed in dashboard only if labeled clearly as mutation-derived proxy.
LIT_Brazil_41522158,Prevalence of &lt;i&gt;EGFR&lt;/i&gt; mutations in patients with resected stage I-III non-small cell lung cancer: results from EARLY-EGFR Latin America study.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41423794,Metastatic colorectal adenocarcinoma with APC and EGFR L858R co-mutations: a case report.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41624150,Clinically relevant somatic variants and genomic discordance between primary tumors and mediastinal lymph nodes in lung adenocarcinoma.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41626155,Favorable response to third-generation TKI furmonertinib in a patient with early-stage non-small cell lung cancer​ harboring rare compound EGFR mutations: Exon 18 G719C and Exon 20 S768I - A Case Report.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41480531,A case report of neoadjuvant targeted therapy in stage IIIA non-small cell lung cancer with &lt;i&gt;BRAF V600E&lt;/i&gt; mutation.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41071680,Feasibility of a ctDNA multigenic panel for non-small-cell lung cancer early detection and disease surveillance.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41538756,"Prevalence of Genomic Alterations in &lt;i&gt;EGFR&lt;/i&gt;, &lt;i&gt;KRAS&lt;/i&gt;, &lt;i&gt;NRAS&lt;/i&gt;, and &lt;i&gt;BRAF&lt;/i&gt; Among Early-Stage Nonsquamous Non-Small Cell Lung Cancer in Brazil.",Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41694159,Evolving treatment strategies for EGFRex20ins-mutated NSCLC: a comprehensive review of Amivantamab's role and future directions.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Brazil_41660472,First-line treatment strategies for &lt;i&gt;BRAF&lt;/i&gt;-V600E mutated non-small cell lung cancer: lessons from real-world data and ongoing uncertainties.,Brazil,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_41907614,&lt;i&gt;FGFR3-TACC3&lt;/i&gt; fusion as a potential primary resistance mechanism to EGFR-TKI in lung adenocarcinoma harboring co-driven mutations: a case report.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42063689,Analysis of Somatic Mutations and Immunotherapy Biomarkers in Chinese Patients With Non-Small Cell Lung Cancer During 2019-2024: A Retrospective Study.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42078618,Lung squamous cell carcinoma with germline EGFR P848L mutation: a case report.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42170267,The IASLC grading system as a predictor for EGFR-TKI therapy in patients with &lt;i&gt;EGFR&lt;/i&gt;-mutant lung adenocarcinoma.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42170792,"Efficacy and safety of first-line osimertinib in Chinese patients with EGFR-mutated advanced non-small cell lung cancer: a prospective, multicenter, non-interventional study (FLOURISH).",China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42201505,Crizotinib or vebreltinib response and resistance in advanced non-small cell lung cancer with MET exon 14 skipping.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
